date,next_date,n_stocks,pred_sigma_daily,pred_sigma_annual,realized_return_next,factor_var_daily,specific_var_daily,factor_risk_share,specific_risk_share,factor_vol_annual_component,specific_vol_annual_component,z,realized_vol_daily_rolling,realized_vol_annual_rolling
2023-08-07,2023-08-08,492,0.008904101489618808,0.1413482291400668,-0.005955557633891497,7.884763026454211e-05,4.353930728897711e-07,0.9945083694520993,0.005491630547900778,0.14095957869781187,0.010474686361329505,-0.66885554267716,,
2023-08-08,2023-08-09,492,0.00888624236720024,0.1410647243607465,-0.0038440995904382978,7.852737765641425e-05,4.379257522102772e-07,0.9944542003474092,0.005545799652590802,0.14067302218057445,0.010505107784168131,-0.4325900005414151,,
2023-08-09,2023-08-10,492,0.008858847392934473,0.14062984262626507,-0.0008681026348716075,7.803974172041476e-05,4.394354108871545e-07,0.994400611385719,0.005599388614281009,0.14023556935936232,0.010523199301712525,-0.09799272934354618,,
2023-08-10,2023-08-11,492,0.008825047360309118,0.14009328374246974,-0.0003041933317728411,7.744106801040703e-05,4.403929012918987e-07,0.9943453436012043,0.0056546563987957404,0.1396966325242759,0.01053465761786108,-0.03446931436775723,,
2023-08-11,2023-08-14,492,0.008791111638710308,0.13955457086299788,0.0007290166729846454,7.684467717449634e-05,4.3896666977149577e-07,0.9943200572859111,0.005679942714088968,0.13915767549069322,0.010517585311392389,0.08292656298147014,,
2023-08-14,2023-08-15,492,0.008757624816164822,0.13902298403507923,-0.013261099482864146,7.625877884920212e-05,4.3721357150381564e-07,0.9942993948222804,0.00570060517771955,0.13862616012138163,0.010496562295292758,-1.5142347110356693,,
2023-08-15,2023-08-16,492,0.00880242554041744,0.13973417348464728,-0.007864622617997006,7.704722361307148e-05,4.3547178152178767e-07,0.9943797543528388,0.0056202456471613,0.13934095001288752,0.010475633104662005,-0.8934608514307341,,
2023-08-16,2023-08-17,492,0.008796438810886112,0.1396391370996083,-0.008920112116904348,7.693958369716798e-05,4.3775205649550263e-07,0.9943426320868799,0.00565736791312018,0.13924358186891894,0.010503024242420212,-1.0140594743710583,,
2023-08-17,2023-08-18,492,0.008797490998404378,0.1396558400586439,0.0019124978995823856,7.695862290364275e-05,4.372249633633293e-07,0.9943507956122577,0.00564920438774234,0.1392608091737154,0.010496699041487232,0.2173912880307874,,
2023-08-18,2023-08-21,492,0.008766392782457482,0.1391621711849643,0.00047011867349744846,7.641352213702676e-05,4.361202792958571e-07,0.9943250187563237,0.005674981243676243,0.13876673801214306,0.010483430277469107,0.05362737960341085,,
2023-08-21,2023-08-22,492,0.008734175817491481,0.1386507427211804,-0.0030195806015452607,7.58508613703919e-05,4.3496584046107945e-07,0.9942982090335228,0.005701790966477166,0.13825489888368786,0.010469545921203654,-0.34572015318241056,,
2023-08-22,2023-08-23,492,0.008705889617652013,0.1382017132193185,0.00934854035716027,7.535868260026007e-05,4.338314344810305e-07,0.9942760648593584,0.005723935140641657,0.1378056167769135,0.010455884538824045,1.0738179287508107,,
2023-08-23,2023-08-24,492,0.008711002011025796,0.1382828699481467,-0.010694162356856218,7.544919801266027e-05,4.323580234351794e-07,0.9943021987684396,0.0056978012315603375,0.13788835302225635,0.010438113905570548,-1.2276615644584026,,
2023-08-24,2023-08-25,492,0.008727057600092753,0.13853774452308962,0.005626988592574034,7.573038751564016e-05,4.311468396965224e-07,0.9943390473505302,0.0056609526494697205,0.1381450601865348,0.0104234832759267,0.6447750032627526,,
2023-08-25,2023-08-28,492,0.008709053569586216,0.13825193939918692,0.007058316494545122,7.54178996448957e-05,4.2971443302669704e-07,0.994334502960301,0.0056654970396989406,0.1378597501467115,0.010406153810257068,0.810457352012875,,
2023-08-28,2023-08-29,492,0.008698378684532675,0.1380824808524317,0.011955072999124988,7.523376409925636e-05,4.2802764027603276e-07,0.9943428825773842,0.005657117422615745,0.13769135249903172,0.010385709670001384,1.374402452767815,,
2023-08-29,2023-08-30,492,0.008725160729131138,0.13850763263008795,0.0029404485635104553,7.570196279812048e-05,4.264669510517394e-07,0.994398059273561,0.005601940726439015,0.13811913200250847,0.010366758011308952,0.337007953755285,,
2023-08-30,2023-08-31,492,0.008697691337884766,0.1380715695626625,-0.0030866782103204215,7.522496684777885e-05,4.2486776133683027e-07,0.994383758225882,0.005616241774117962,0.1376833019855359,0.010347302830055822,-0.3548847723390338,,
2023-08-31,2023-09-01,492,0.008671569800565614,0.1376569030130075,0.003541736785942523,7.477083179475179e-05,4.2529101132978e-07,0.994344242821847,0.0056557571781531285,0.13726707402825142,0.01035245549882271,0.4084308686198327,,
2023-09-01,2023-09-05,492,0.00864634005374334,0.13725639319861035,-0.011094086599608893,7.43330613084214e-05,4.2613501654499667e-07,0.9942998983738047,0.005700101626195327,0.13686464645671723,0.010362722816390448,-1.2830962616148585,,
